"Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung";;;;;;AGS_Brandenburg;;;Brandenburg
"Gemeindeschluessel	de.inno	1	61	105106200	de	Kronprinzenkoog";;;;;;" 	1	61	105106200	de	Kronprinzenkoog";;;
"Gemeindeschluessel	de.inno	1	62	105106300	de	Krumstedt";;;;;;" 	1	62	105106300	de	Krumstedt";;;
"Gemeindeschluessel	de.inno	1	63	105106400	de	Kuden";;;;;;" 	1	63	105106400	de	Kuden";;;
"Gemeindeschluessel	de.inno	1	64	105106500	de	Lehe";;;;;;" 	1	64	105106500	de	Lehe";;;
"Gemeindeschluessel	de.inno	1	65	105106700	de	Lieth";;;;;;" 	1	65	105106700	de	Lieth";;;
"Gemeindeschluessel	de.inno	1	66	105106800	de	Linden";;;;;;" 	1	66	105106800	de	Linden";;;
"Gemeindeschluessel	de.inno	1	67	105106900	de	Lohe-Rickelshof";;;;;;" 	1	67	105106900	de	Lohe-Rickelshof";;;
"Gemeindeschluessel	de.inno	1	68	105107100	de	Lunden";;;;;;" 	1	68	105107100	de	Lunden";;;
"Gemeindeschluessel	de.inno	1	69	105107200	de	Marne, Stadt";;;;;;" 	1	69	105107200	de	Marne, Stadt";;;
"Gemeindeschluessel	de.inno	1	70	105107300	de	Marnerdeich";;;;;;" 	1	70	105107300	de	Marnerdeich";;;
"Gemeindeschluessel	de.inno	1	71	105107400	de	Meldorf, Stadt";;;;;;" 	1	71	105107400	de	Meldorf, Stadt";;;
"Gemeindeschluessel	de.inno	1	72	105107500	de	Neuenkirchen";;;;;;" 	1	72	105107500	de	Neuenkirchen";;;
"Gemeindeschluessel	de.inno	1	73	105107600	de	Neufeld";;;;;;" 	1	73	105107600	de	Neufeld";;;
"Gemeindeschluessel	de.inno	1	74	105107700	de	Neufelderkoog";;;;;;" 	1	74	105107700	de	Neufelderkoog";;;
"Gemeindeschluessel	de.inno	1	75	105107800	de	Nindorf";;;;;;" 	1	75	105107800	de	Nindorf";;;
"Gemeindeschluessel	de.inno	1	76	105107900	de	Norddeich";;;;;;" 	1	76	105107900	de	Norddeich";;;
"Gemeindeschluessel	de.inno	1	77	105108000	de	Norderheistedt";;;;;;" 	1	77	105108000	de	Norderheistedt";;;
"Gemeindeschluessel	de.inno	1	78	105108100	de	Norderwöhrden";;;;;;" 	1	78	105108100	de	Norderwöhrden";;;
"Gemeindeschluessel	de.inno	1	79	105108200	de	Nordhastedt";;;;;;" 	1	79	105108200	de	Nordhastedt";;;
"Gemeindeschluessel	de.inno	1	80	105108300	de	Odderade";;;;;;" 	1	80	105108300	de	Odderade";;;
"Gemeindeschluessel	de.inno	1	81	105108400	de	Oesterdeichstrich";;;;;;" 	1	81	105108400	de	Oesterdeichstrich";;;
"Gemeindeschluessel	de.inno	1	82	105108500	de	Offenbüttel";;;;;;" 	1	82	105108500	de	Offenbüttel";;;
"Gemeindeschluessel	de.inno	1	83	105108600	de	Osterrade";;;;;;" 	1	83	105108600	de	Osterrade";;;
"Gemeindeschluessel	de.inno	1	84	105108700	de	Ostrohe";;;;;;" 	1	84	105108700	de	Ostrohe";;;
"Gemeindeschluessel	de.inno	1	85	105108800	de	Pahlen";;;;;;" 	1	85	105108800	de	Pahlen";;;
"Gemeindeschluessel	de.inno	1	86	105108900	de	Quickborn";;;;;;" 	1	86	105108900	de	Quickborn";;;
"Gemeindeschluessel	de.inno	1	87	105109000	de	Ramhusen";;;;;;" 	1	87	105109000	de	Ramhusen";;;
"Gemeindeschluessel	de.inno	1	88	105109200	de	Rehm-Flehde-Bargen";;;;;;" 	1	88	105109200	de	Rehm-Flehde-Bargen";;;
"Gemeindeschluessel	de.inno	1	89	105109300	de	Reinsbüttel";;;;;;" 	1	89	105109300	de	Reinsbüttel";;;
"Gemeindeschluessel	de.inno	1	90	105109600	de	Sankt Annen";;;;;;" 	1	90	105109600	de	Sankt Annen";;;
"Gemeindeschluessel	de.inno	1	91	105109700	de	Sankt Michaelisdonn";;;;;;" 	1	91	105109700	de	Sankt Michaelisdonn";;;
"Gemeindeschluessel	de.inno	1	92	105109800	de	Sarzbüttel";;;;;;" 	1	92	105109800	de	Sarzbüttel";;;
"Gemeindeschluessel	de.inno	1	93	105109900	de	Schafstedt";;;;;;" 	1	93	105109900	de	Schafstedt";;;
"Gemeindeschluessel	de.inno	1	94	105110000	de	Schalkholz";;;;;;" 	1	94	105110000	de	Schalkholz";;;
"Gemeindeschluessel	de.inno	1	95	105110200	de	Schlichting";;;;;;" 	1	95	105110200	de	Schlichting";;;
"Gemeindeschluessel	de.inno	1	96	105110300	de	Schmedeswurth";;;;;;" 	1	96	105110300	de	Schmedeswurth";;;
"Gemeindeschluessel	de.inno	1	97	105110400	de	Schrum";;;;;;" 	1	97	105110400	de	Schrum";;;
"Gemeindeschluessel	de.inno	1	98	105110500	de	Schülp";;;;;;" 	1	98	105110500	de	Schülp";;;
"Gemeindeschluessel	de.inno	1	99	105110700	de	Stelle-Wittenwurth";;;;;;" 	1	99	105110700	de	Stelle-Wittenwurth";;;
"Gemeindeschluessel	de.inno	1	100	105110800	de	Strübbel";;;;;;" 	1	100	105110800	de	Strübbel";;;
"Gemeindeschluessel	de.inno	1	101	105110900	de	Süderdeich";;;;;;" 	1	101	105110900	de	Süderdeich";;;
"Gemeindeschluessel	de.inno	1	102	105111000	de	Süderhastedt";;;;;;" 	1	102	105111000	de	Süderhastedt";;;
"Gemeindeschluessel	de.inno	1	103	105111100	de	Süderheistedt";;;;;;" 	1	103	105111100	de	Süderheistedt";;;
"Gemeindeschluessel	de.inno	1	104	105111300	de	Wöhrden";;;;;;" 	1	104	105111300	de	Wöhrden";;;
"Gemeindeschluessel	de.inno	1	105	105111400	de	Tellingstedt";;;;;;" 	1	105	105111400	de	Tellingstedt";;;
"Gemeindeschluessel	de.inno	1	106	105111700	de	Tielenhemme";;;;;;" 	1	106	105111700	de	Tielenhemme";;;
"Gemeindeschluessel	de.inno	1	107	105111800	de	Trennewurth";;;;;;" 	1	107	105111800	de	Trennewurth";;;
"Gemeindeschluessel	de.inno	1	108	105111900	de	Volsemenhusen";;;;;;" 	1	108	105111900	de	Volsemenhusen";;;
"Gemeindeschluessel	de.inno	1	109	105112000	de	Wallen";;;;;;" 	1	109	105112000	de	Wallen";;;
"Gemeindeschluessel	de.inno	1	110	105112100	de	Warwerort";;;;;;" 	1	110	105112100	de	Warwerort";;;
"Gemeindeschluessel	de.inno	1	111	105112200	de	Weddingstedt";;;;;;" 	1	111	105112200	de	Weddingstedt";;;
"Gemeindeschluessel	de.inno	1	112	105112500	de	Welmbüttel";;;;;;" 	1	112	105112500	de	Welmbüttel";;;
"Gemeindeschluessel	de.inno	1	113	105112600	de	Wennbüttel";;;;;;" 	1	113	105112600	de	Wennbüttel";;;
"Gemeindeschluessel	de.inno	1	114	105112700	de	Wesselburen, Stadt";;;;;;" 	1	114	105112700	de	Wesselburen, Stadt";;;
"Gemeindeschluessel	de.inno	1	115	105112800	de	Wesselburener Deichhausen";;;;;;" 	1	115	105112800	de	Wesselburener Deichhausen";;;
"Gemeindeschluessel	de.inno	1	116	105112900	de	Wesselburenerkoog";;;;;;" 	1	116	105112900	de	Wesselburenerkoog";;;
"Gemeindeschluessel	de.inno	1	117	105113000	de	Wesseln";;;;;;" 	1	117	105113000	de	Wesseln";;;
"Gemeindeschluessel	de.inno	1	118	105113100	de	Westerborstel";;;;;;" 	1	118	105113100	de	Westerborstel";;;
"Gemeindeschluessel	de.inno	1	119	105113200	de	Westerdeichstrich";;;;;;" 	1	119	105113200	de	Westerdeichstrich";;;
"Gemeindeschluessel	de.inno	1	120	105113300	de	Wiemerstedt";;;;;;" 	1	120	105113300	de	Wiemerstedt";;;
"Gemeindeschluessel	de.inno	1	121	105113400	de	Windbergen";;;;;;" 	1	121	105113400	de	Windbergen";;;
"Gemeindeschluessel	de.inno	1	122	105113500	de	Wolmersdorf";;;;;;" 	1	122	105113500	de	Wolmersdorf";;;
"Gemeindeschluessel	de.inno	1	123	105113600	de	Wrohm";;;;;;" 	1	123	105113600	de	Wrohm";;;
"Gemeindeschluessel	de.inno	1	124	105113700	de	Nordermeldorf";;;;;;" 	1	124	105113700	de	Nordermeldorf";;;
"Gemeindeschluessel	de.inno	1	125	105113800	de	Tensbüttel-Röst";;;;;;" 	1	125	105113800	de	Tensbüttel-Röst";;;
"Gemeindeschluessel	de.inno	1	126	105113900	de	Süderdorf";;;;;;" 	1	126	105113900	de	Süderdorf";;;
"Gemeindeschluessel	de.inno	1	127	105114000	de	Oesterwurth";;;;;;" 	1	127	105114000	de	Oesterwurth";;;
"Gemeindeschluessel	de.inno	1	128	105300000	de	Herzogtum Lauenburg";;;;;;" 	1	128	105300000	de	Herzogtum Lauenburg";;;
"Gemeindeschluessel	de.inno	1	129	105300100	de	Albsfelde";;;;;;" 	1	129	105300100	de	Albsfelde";;;
"Gemeindeschluessel	de.inno	1	130	105300200	de	Alt Mölln";;;;;;" 	1	130	105300200	de	Alt Mölln";;;
"Gemeindeschluessel	de.inno	1	131	105300300	de	Aumühle";;;;;;" 	1	131	105300300	de	Aumühle";;;
"Gemeindeschluessel	de.inno	1	132	105300400	de	Bäk";;;;;;" 	1	132	105300400	de	Bäk";;;
"Gemeindeschluessel	de.inno	1	133	105300500	de	Bälau";;;;;;" 	1	133	105300500	de	Bälau";;;
"Gemeindeschluessel	de.inno	1	134	105300600	de	Basedow";;;;;;" 	1	134	105300600	de	Basedow";;;
"Gemeindeschluessel	de.inno	1	135	105300700	de	Basthorst";;;;;;" 	1	135	105300700	de	Basthorst";;;
"Gemeindeschluessel	de.inno	1	136	105300800	de	Behlendorf";;;;;;" 	1	136	105300800	de	Behlendorf";;;
"Gemeindeschluessel	de.inno	1	137	105300900	de	Berkenthin";;;;;;" 	1	137	105300900	de	Berkenthin";;;
"Gemeindeschluessel	de.inno	1	138	105301000	de	Besenthal";;;;;;" 	1	138	105301000	de	Besenthal";;;
"Gemeindeschluessel	de.inno	1	139	105301100	de	Bliestorf";;;;;;" 	1	139	105301100	de	Bliestorf";;;
"Gemeindeschluessel	de.inno	1	140	105301200	de	Börnsen";;;;;;" 	1	140	105301200	de	Börnsen";;;
"Gemeindeschluessel	de.inno	1	141	105301300	de	Borstorf";;;;;;" 	1	141	105301300	de	Borstorf";;;
"Gemeindeschluessel	de.inno	1	142	105301400	de	Breitenfelde";;;;;;" 	1	142	105301400	de	Breitenfelde";;;
"Gemeindeschluessel	de.inno	1	143	105301500	de	Bröthen";;;;;;" 	1	143	105301500	de	Bröthen";;;
"Gemeindeschluessel	de.inno	1	144	105301600	de	Brunsmark";;;;;;" 	1	144	105301600	de	Brunsmark";;;
"Gemeindeschluessel	de.inno	1	145	105301700	de	Brunstorf";;;;;;" 	1	145	105301700	de	Brunstorf";;;
"Gemeindeschluessel	de.inno	1	146	105301800	de	Buchholz";;;;;;" 	1	146	105301800	de	Buchholz";;;
"Gemeindeschluessel	de.inno	1	147	105301900	de	Buchhorst";;;;;;" 	1	147	105301900	de	Buchhorst";;;
"Gemeindeschluessel	de.inno	1	148	105302000	de	Büchen";;;;;;" 	1	148	105302000	de	Büchen";;;
"Gemeindeschluessel	de.inno	1	149	105302100	de	Dahmker";;;;;;" 	1	149	105302100	de	Dahmker";;;
"Gemeindeschluessel	de.inno	1	150	105302200	de	Dalldorf";;;;;;" 	1	150	105302200	de	Dalldorf";;;
"Gemeindeschluessel	de.inno	1	151	105302300	de	Dassendorf";;;;;;" 	1	151	105302300	de	Dassendorf";;;
"Gemeindeschluessel	de.inno	1	152	105302400	de	Düchelsdorf";;;;;;" 	1	152	105302400	de	Düchelsdorf";;;
"Gemeindeschluessel	de.inno	1	153	105302500	de	Duvensee";;;;;;" 	1	153	105302500	de	Duvensee";;;
"Gemeindeschluessel	de.inno	1	154	105302600	de	Einhaus";;;;;;" 	1	154	105302600	de	Einhaus";;;
"Gemeindeschluessel	de.inno	1	155	105302700	de	Elmenhorst";;;;;;" 	1	155	105302700	de	Elmenhorst";;;
"Gemeindeschluessel	de.inno	1	156	105302800	de	Escheburg";;;;;;" 	1	156	105302800	de	Escheburg";;;
"Gemeindeschluessel	de.inno	1	157	105302900	de	Fitzen";;;;;;" 	1	157	105302900	de	Fitzen";;;
"Gemeindeschluessel	de.inno	1	158	105303000	de	Fredeburg";;;;;;" 	1	158	105303000	de	Fredeburg";;;
"Gemeindeschluessel	de.inno	1	159	105303100	de	Fuhlenhagen";;;;;;" 	1	159	105303100	de	Fuhlenhagen";;;
"Gemeindeschluessel	de.inno	1	160	105303200	de	Geesthacht, Stadt";;;;;;" 	1	160	105303200	de	Geesthacht, Stadt";;;
"Gemeindeschluessel	de.inno	1	161	105303300	de	Giesensdorf";;;;;;" 	1	161	105303300	de	Giesensdorf";;;
"Gemeindeschluessel	de.inno	1	162	105303400	de	Göldenitz";;;;;;" 	1	162	105303400	de	Göldenitz";;;
"Gemeindeschluessel	de.inno	1	163	105303500	de	Göttin";;;;;;" 	1	163	105303500	de	Göttin";;;
"Gemeindeschluessel	de.inno	1	164	105303600	de	Grabau";;;;;;" 	1	164	105303600	de	Grabau";;;
"Gemeindeschluessel	de.inno	1	165	105303700	de	Grambek";;;;;;" 	1	165	105303700	de	Grambek";;;
"Gemeindeschluessel	de.inno	1	166	105303800	de	Grinau";;;;;;" 	1	166	105303800	de	Grinau";;;
"Gemeindeschluessel	de.inno	1	167	105303900	de	Groß Boden";;;;;;" 	1	167	105303900	de	Groß Boden";;;
"Gemeindeschluessel	de.inno	1	168	105304000	de	Groß Disnack";;;;;;" 	1	168	105304000	de	Groß Disnack";;;
"Gemeindeschluessel	de.inno	1	169	105304100	de	Groß Grönau";;;;;;" 	1	169	105304100	de	Groß Grönau";;;
