Scheme-Id	Agency-Id	Version	Schlüssel	Wert	Sprache	Beschreibung
Branchenschluessel	de.ilb	1	131	46.43.2	de	Ablufthauben für den Haushalt, elektrische, Gh.
Branchenschluessel	de.ilb	1	132	27.51.0	de	Ablufthauben für den Haushalt, elektrische, H.
Branchenschluessel	de.ilb	1	133	46.15.3	de	Ablufthauben für den Haushalt, elektrische, V.
Branchenschluessel	de.ilb	1	134	82.99.9	de	Abonnentenwerbung
Branchenschluessel	de.ilb	1	135	43.12.0	de	Abräumen des Deckgebirges (Aufschließung von Lagerstätten)
Branchenschluessel	de.ilb	1	136	46.66.0	de	Abrechnungsmaschinen, Gh.
Branchenschluessel	de.ilb	1	137	28.23.0	de	Abrechnungsmaschinen, H.
Branchenschluessel	de.ilb	1	138	46.14.5	de	Abrechnungsmaschinen, V.
Branchenschluessel	de.ilb	1	139	82.91.1	de	Abrechnungsstellen
Branchenschluessel	de.ilb	1	140	18.12.0	de	Abreißkalender, Druck
Branchenschluessel	de.ilb	1	141	47.62.2	de	Abreißkalender, Eh.
Branchenschluessel	de.ilb	1	142	46.49.4	de	Abreißkalender, Gh.
Branchenschluessel	de.ilb	1	143	46.18.7	de	Abreißkalender, V.
Branchenschluessel	de.ilb	1	144	58.19.0	de	Abreißkalender, Verlag
Branchenschluessel	de.ilb	1	145	96.09.0	de	Abrichtung von Haustieren
Branchenschluessel	de.ilb	1	146	96.09.0	de	Abrichtung von Wach- und Schutzhunden
Branchenschluessel	de.ilb	1	147	46.69.2	de	Absackwaagen (nicht Laborwaagen), Gh.
Branchenschluessel	de.ilb	1	148	28.29.0	de	Absackwaagen (nicht Laborwaagen), H.
Branchenschluessel	de.ilb	1	149	46.14.1	de	Absackwaagen (nicht Laborwaagen), V.
Branchenschluessel	de.ilb	1	150	22.19.0	de	Absätze aus Gummi für Schuhe, H.
Branchenschluessel	de.ilb	1	151	22.29.0	de	Absätze aus Kunststoff für Schuhe, H.
Branchenschluessel	de.ilb	1	152	46.69.3	de	Absätze für Schuhe, Gh.
Branchenschluessel	de.ilb	1	153	46.14.1	de	Absätze für Schuhe, V.
